Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates
Ngarluma,Severely Endangered,<20,Pama-Nyungan; Ngayarta,Australia ,"-20.848545,117.696075"
Ngarnka,Critically Endangered,~3,Mirndi,Australia ,"-16.9973,135.7788"
Ngasa,Endangered,200-300,Nilotic; Eastern Nilotic,Kenya Tanzania ,"-2.932,37.4853"
Ngatik Men's Creole,Severely Endangered,15-30,Pidgin or Creole; English based,Micronesia ,"5.787374, 157.155433"
Ngatikese,Vulnerable,~700,Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Micronesia ,"5.789276, 157.159653"
Ngawun,Critically Endangered,1,Pama-Nyungan; Mayabic,Australia ,"-20.00086144,141.7753193"
Ngbinda,Critically Endangered,Few,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Democratic Republic of the Congo ,"4.6092,27.0812"
Ngen,Endangered,800,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.2987,167.1459"
Ngile,Vulnerable,"38,000",Niger-Congo; Talodi,Sudan ,"10.6666666667,30.0"
Ngizim,Vulnerable,"80,000",Afro-Asiatic; Chadic; West Chadic,Nigeria ,"11.710652, 11.082443"
NgkÃ¢lmpw Kanum,Endangered,150,Morehead-Upper Maro,Indonesia ,"-8.66666666667,140.916666667"
Ngombe,Threatened,"1,400",Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,Central African Republic ,"3.9492,15.2352"
Ngomburr,Critically Endangered,1,Unclassified; Darwin Region?,Australia ,"-12.98243877,132.2517098"
Ngong,Critically Endangered,2,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"9.0044,13.5104"
NguÃ´n,Endangered,"~1,000",Austro-Asiatic; Vietic; Viet-Muong; Muong,Vietnam Laos ,"17.5333,105.3833"
Ngwaba,Vulnerable,"10,000",Afro-Asiatic; Chadic; Biu-Mandara,Nigeria ,"9.9904,12.81"
Nhanta,Critically Endangered,2,Pama-Nyungan; Kartu,Australia ,"-28.671311,115.113029"
NheengatÃº,Endangered,"19,060",Tupian; Tupi-Guaranian; Tupi,Brazil Colombia Venezuela ,"1.2303,-66.8408"
Nhirrpi,Dormant,0?,Pama-Nyungan; Karnic,Australia ,"-28.62910687,141.2759561"
Nhuwala,Severely Endangered,10,Pama-Nyungan; Ngayarta,Australia ,"-22.10053672,114.9936417"
Nicaragua Creole English,Vulnerable,"35,000-50,0000",Pidgin or Creole; English based,Nicaragua ,"12.010778,-83.771836"
Nicaraguan Sign Language,Threatened,"3,000","Sign Language; Mexican, Central American, or Caribbean",Nicaragua ,"12.25, -86.34"
Niellim,Threatened,"5,160",Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Chad ,"9.75,17.75"
Nihali,Threatened,"1,000-2,000",Isolate; South Asian,India ,"19.75,77.8333333333"
Niksek,Endangered,300,Sepik; Sepik Hill; Western Sepik Hill,Papua New Guinea ,"-4.83, 142.45"
Nila,Threatened,"1,800",Austronesian; Malayo-Polynesian; Timor,East Timor ,"-3.2173,128.9849"
Nimanburru,Critically Endangered,2,Nyulnyulan; Western Nyulnyulan,Australia ,"-17.32739252,123.0695845"
Nimo,Endangered,178,Left May,Papua New Guinea ,"-4.36, 141.58"
Ninam,Vulnerable,560,Yanomaman,Brazil Venezuela ,"3.5,-62.8333333333"
Ninde,Threatened,"1,100",Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-16.4492,167.4481"
Ningera,Endangered,213,Border; Bewani,Papua New Guinea ,"-2.73916, 141.4355"
Ninggerum,Threatened,">3,500",Trans-New Guinea; Ok; Lowland Ok,Indonesia Papua New Guinea ,"-5.43, 141.16"
Ningil,Endangered,500,Torricelli; Wapei,Papua New Guinea ,"-3.54, 142.27"
Ningye,Threatened,"<4,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"10.234350, 7.866383"
Niolean,Severely Endangered,<90,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.3155,167.6026"
Nipode,Severely Endangered,50,Witotoan,Brazil Peru Colombia ,"-2.34, -70.96"
Nisga'a,Severely Endangered,857,Tsimshian,Canada ,"56.4500000, -129.3900000"
Nisvai,Endangered,200,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.431448,167.715238;"
Nitita,Critically Endangered,<5,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.214958,167.518171;"
Niue,Threatened,"7,990",Austronesian; Malayo-Polynesian; Oceanic; Polynesian,New Zealand Cook Islands Tonga Niue ,"-19.05,-170.116666667"
NivaclÃ©,Threatened,"8,800",Matacoan,Argentina Paraguay ,"-23.5, -60.5"
Nivat,Critically Endangered,<10,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.271847,167.451384;"
Njalgulgule,Endangered,900,Daju; Western Daju,South Sudan ,"8.4452,25.3015"
Njav,Critically Endangered,10,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-15.975671,167.258437;"
Nkari,Threatened,"<10,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.44, 7.76"
Nkoroo,Threatened,"<5,000",Niger-Congo; Ijoid; Eastern Ijo,Nigeria ,"4.561549, 7.473342"
Nocte Naga,Threatened,"35,000",Sino-Tibetan; Brahmaputran,India ,"27.0,95.5"
Noghay,Threatened,"~70,000",Turkic; Kipchak,Russia ,"46.3333333333,48.5"
Nokuku,Endangered,250,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.919628,166.611481"
Nomatsiguenga,Threatened,"5,531",Arawakan; Southern Arawakan; Campa,Peru ,"-11.6666666667,-74.5"
Nonuya,Dormant,Ã˜,Witotoan,Peru Colombia ,"0.671522,-72.084083"
Noon,Vulnerable,"25,000-50,000",Niger-Congo; Atlantic-Congo; North Atlantic,Senegal ,"14.80, -16.933"
Norman,Severely Endangered,"~11,100",Indo-European; Italic; Romance; Western Romance,France ,"49.081, -0.6591"
North Ambrym,Threatened,"5,250",Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.186489,168.137208"
North Muyu,Threatened,"8,000",Trans-New Guinea; Ok; Lowland Ok,Indonesia ,"-5.55, 140.84"
North Saami,Vulnerable,"16,500",Uralic; Saami,Russia Sweden Norway Finland ,"69.0,24.0"
Northeastern Alta Mixtec,Threatened,"10,220",Otomanguean; Mixtecan,Mexico ,"17.46, -97.06"
Northern Alta Mixtec,Threatened,"3,970",Otomanguean; Mixtecan,Mexico ,"17.98, -96.80"
Northern Altai,Endangered,"<10,000",Turkic; South Siberian,Russia ,"52.2816,87.4827"
Northern Baja Mixtec,Threatened,"8,320",Otomanguean; Mixtecan,Mexico ,"18.17, -97.83"
Northern Bolivian Quechua,At Risk,"100,000",Quechuan; Peripheral Quechua; Chinchay,Bolivia ,"-14.40, -68.79"
Northern Chinantec,Vulnerable,"37,900",Otomanguean; Chinantecan,Mexico ,"18.059823, -96.394264"
Northern EmberÃ¡,Vulnerable,"~88,799",Chocoan,Colombia Panama ,"6.83333333333,-77.1666666667"
Northern Frisian,Threatened,"~8,000",Indo-European; Germanic; West Germanic; Anglo-Frisian,Germany ,"54.5,9.0"
Northern Khanty,Threatened,"~10,000",Uralic; Khanty,Russia ,"63.7047,66.676"
Northern Lorung,Threatened,1207,Sino-Tibetan; Kiranti,Nepal ,"27.4266,87.2498"
Northern Mansi,Endangered,"~3,000",Uralic; Mansi,Russia ,"62.6539,63.1494"
Northern Northeastern Neo-Aramaic,Vulnerable,"10,000-20,000",Afro-Asiatic; Semitic; Aramaic,Turkey ,"37.3834,Â 43.4721; 36.390,Â 40.220"
Northern Paiute,Critically Endangered,~700,Uto-Aztecan; Northern Uto-Aztecan; Numic,USA ,"43.0439,-112.4566; 41.9979,-117.7193; 43.5883,-119.0595"
Northern Pame,Threatened,"5,620",Otomanguean; Otopamean,Mexico ,"21.9955,-99.6458"
Northern Pumi,Vulnerable,32300,Sino-Tibetan; Qiangic,China ,"28.0,101.0"
Northern Rengma Naga,Threatened,"<6,600",Sino-Tibetan; Angami-Pochuri,India ,"25.958,94.2462"
Northern Roglai,Vulnerable,"25,000",Austronesian; Malayo-Polynesian; Malayo-Chamic; Chamic,Vietnam ,"12.249, 109.195; 10.950, 108.101"
Northern Selkup,Endangered,<600,Uralic; Samoyedic,Russia ,"65.7035,82.4441"
Northern Straits Salish,Critically Endangered,<20,Salishan; Central Salish,USA Canada ,"48.4500000, -123.0000000"
Northern TepehuÃ¡n,Threatened,"~8,000",Uto-Aztecan; Southern Uto-Aztecan; Tepiman,Mexico ,"26.43, -107.38"
Northern Totonac,Threatened,"3,000",Totonacan; Totonac,Mexico ,"20.298178,-97.536594"
Northern Tujia,Severely Endangered,~65000,Sino-Tibetan; Tujia,China ,"28.828,109.5904"
Northern Tutchone,Severely Endangered,~200,Athabaskan-Eyak-Tlingit; Athabaskan; Northern Athabaskan,Canada ,"63.0,-137.0"
Northwestern Chinantec,Threatened,"1,720",Otomanguean; Chinantecan,Mexico ,"17.878778,-96.589844"
Norwegian Sign Language,Threatened,"4,000",Sign Language; European,Norway ,"60.77, 10.24"
Notre,Vulnerable,"2,368",Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Benin ,"10.798235, 1.669510"
Noy,Severely Endangered,36,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Chad ,"8.9312,17.8829"
Nsong,Threatened,"7,080",Bantu;,Democratic Republic of the Congo ,"-5.054521, 18.781299"
Nubaca,Endangered,800,Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"4.2971,10.7446"
Nubi,Threatened,"~25,000",Pidgin or Creole; Arabic based,Kenya South Sudan Democratic Republic of the Congo Uganda ,"0.666666666667,32.0833333333"
Nubri,Threatened,"2,000",Sino-Tibetan; Bodish,Nepal ,"28.6384,84.6079"
Nukak,Endangered,390,Kakua-Nukak,Colombia ,"2.5,-71.5"
Nukini,Dormant,"Obsolescent (no longer spoken as an everyday language, but a few speakers remember it).",Pano-Tacanan; Mainline,Brazil ,"-7.34, -73.50"
Nukna,Vulnerable,1000,"Transâ€“New Guinea, Finisterre-Huon",Papua New Guinea ,"-6.007053, 146.980984; -6.011041, 146.904643; -6.108637, 146.982552"
Nukunu,Dormant,0?,Pama-Nyungan; Thura-Yura,Australia ,"-32.71595341, 138.0903099"
Nukuoro,Endangered,900,Austronesian; Malayo-Polynesian; Oceanic; Polynesian,Micronesia ,"3.83333333333,154.916666667"
Numbami,Endangered,270,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-7.5177,147.2991"
Nume,Endangered,700,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.214274,167.563977;"
NumÃ¨Ã¨,Threatened,"1,810",Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-22.249569,166.821594"
Nungali,Critically Endangered,2,Mirndi,Australia ,"-14.92708592, 131.1442419"
Nupbikha,Vulnerable,"30,000",Sino-Tibetan; Bodish,Bhutan ,"27.3937,90.5003"
Nusa Laut,Severely Endangered,10,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-6.7331,129.5288"
Nuuchahnulth (Nootka),Critically Endangered,134,Wakashan; Southern Wakashan,Canada ,"49.6100000, -126.5000000"
Nyahkur,Endangered,"~10,000",Austro-Asiatic; Monic,Thailand ,"15.6666666667,101.666666667"
Nyamal,Critically Endangered,<10,Pama-Nyungan; Ngayarta,Australia ,"-21.30071734, 119.7091996"
Nyang'i,Critically Endangered,<10,Kuliak,Uganda ,"3.41666666667,33.5833333333"
Nyangumarta,Endangered,~520,Pama-Nyungan; Marrngu,Australia ,"-20.49615825, 122.2137447"
Nyanjang,Critically Endangered,4,Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Cameroon ,"6.634598, 11.675720"
Nyawaygi,Critically Endangered,3,Pama-Nyungan; Dyirbalic,Australia ,"-18.82290222, 146.1701373"
Nyenkha,Vulnerable,"8,692",Sino-Tibetan; Bodish,Bhutan ,"27.4595,90.4119"
Nyeu,Endangered,200,Austro-Asiatic; Katuic; Eastern Katuic; West Katuic; Kuay-Yoe,Thailand ,"14.88, 104.33"
Nyikina,Severely Endangered,~50,Nyulnyulan; Eastern Nyulnyulan,Australia ,"-18.20260282, 124.2885679"
Nyiyaparli,Severely Endangered,~50,Pama-Nyungan; Wati,Australia ,"-23.3884779,119.9251173"
Nyulnyul,Critically Endangered,1,Nyulnyulan; Western Nyulnyulan,Australia ,"-16.87658868, 122.8231991"
N||ng,Critically Endangered,5,Tuu; Kwi,South Africa ,"-27.935574, 22.734146; -28.446959, 21.270905; -26.902936, 20.683308"
NÅ‚eÊ”kepmxcÃ­n (Thompson),Severely Endangered,127,Salishan; Interior Salish,Canada ,"50.3600000, -121.1000000"
O'odham,Vulnerable,">15,000?",Uto-Aztecan; Southern Uto-Aztecan; Pimic,USA Mexico ,"33.059,-112.0479; 31.9186,-111.8798"
Oaxaca Zoque,Threatened,"5,216",Mixe-Zoquean; Zoquean,Mexico ,"16.65, -94.69"
Obokuitai,Endangered,120,Lakes Plain,Indonesia ,"-3.0,138.0"
Obulom,Threatened,"3,420",Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"4.743327, 7.082359"
Ocaina,Critically Endangered,~50,Witotoan,Peru Colombia ,"-2.75,-71.75"
OcotlÃ¡n,Vulnerable,15000,Otomanguean; Zapotecan,Mexico ,"16.796597, -96.653301"
Ocuiltec,Endangered,737,Otomanguean; Otopamean,Mexico ,"19.003075, -99.231114"
Odoodee,Endangered,490,Trans-New Guinea; East Strickland,Papua New Guinea ,"-6.7,142.5"
Odut,Severely Endangered,20,Niger-Congo; Atlantic-Congo; Benue-Congo; Delta Cross,Nigeria ,"5.3077,8.2672"
OfayÃ©,Severely Endangered,12,Isolate; South American,Brazil ,"-21.361,-52.0532"
Oirata,Threatened,"1,220",Timor-Alor-Pantar; East Timor,Indonesia ,"-8.0755,127.1777"
Oji-Cree,Vulnerable,"6,110",Algic; Algonquian; Ojibwa-Potawatomi,Canada ,"53.0,-90.0"
Okanagan-Colville,Critically Endangered,~350-400,Salishan; Interior Salish,USA Canada ,"49.2900000, -118.9800000"
Okiek,Severely Endangered,50,Nilotic; Southern Nilotic,Kenya Tanzania ,"-1.0435,36.6006"
Oksapmin,Vulnerable,"8,000",Trans-New Guinea,Papua New Guinea ,"-5.21, 142.18"
Olekha,Critically Endangered,3,Sino-Tibetan; Tibeto-Burman; Unclassified,Bhutan ,"27.1955,90.43"
Olkol,Critically Endangered,5,Pama-Nyungan; Paman,Australia ,"-15.2, 142.4"
Olo,Vulnerable,"13,000",Torricelli; Wapei,Papua New Guinea ,"-3.4, 142.1"
Olrat,Critically Endangered,3,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.313, 167.433"
Oluta Popoluca,Severely Endangered,12,Mixe-Zoquean; Mixean,Mexico ,"17.95,-95.0"
Omagua,Critically Endangered,<10,Tupian; Tupi-Guaranian; Cocaman,Brazil Peru ,"-4.0,-73.5"
Omaha-Ponca,Severely Endangered,<85,Siouan; Mississippi Valley Siouan; Dhegihan,USA ,"42.0817,-96.4855"
Omotik,Severely Endangered,50,Nilotic; Southern Nilotic,Kenya ,"-1.115,35.9143"
One,Threatened,"4,450",Torricelli; One,Papua New Guinea ,"-3.3, 141.9"
Oneida,Endangered,~212,Iroquoian; Northern Iroquoian,USA Canada ,"43.0778,-75.6622; 42.8286,-81.4068; 44.5158,-88.0075"
Ã–nge,Threatened,94,South Andamanese,India ,"10.75,92.4166666667"
Ongkor Solon,Critically Endangered,1?,Tungusic; Northern Tungusic,Kazakhstan China ,"46.7774,83.0456"
Ongota,Critically Endangered,8,Unclassified; Afro-Asiatic?,Ethiopia ,"5.3207,37.2244"
Onin,Endangered,600,Austronesian; Malayo-Polynesian; Yamdena-Sekar,Indonesia ,"-2.9745,132.2383"
Onjob,Endangered,150,Trans-New Guinea; Dagan,Papua New Guinea ,"-9.2973,149.1613"
Onondaga,Critically Endangered,~52,Iroquoian; Northern Iroquoian,USA Canada ,"43.1194,-80.1174; 43.047,-76.1422; 42.9473809,-76.1600231"
Opuuo,Endangered,301,Koman,Ethiopia South Sudan ,"8.3202,33.8873"
Orang Kanaq,Severely Endangered,~87,Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic,Malaysia ,"1.8858,103.9814"
Orang Seletar,Endangered,880,Austronesian; Malayo-Polynesian; Malayo-Chamic; Malayic,Malaysia Singapore ,"1.3387,103.464"
Ordos,Vulnerable,"<100,000",Mongolic; Common Mongolic; Southern Common Mongolic,China ,"39.612, 109.781"
OrejÃ³n,Critically Endangered,90-100,Tucanoan; Western Tucanoan,Peru ,"-2.83333333333,-72.5"
Original Bangkok Sign Language,Critically Endangered,~495,Sign Language; Southeast Asian,Thailand ,"13.727,100.524"
Original Chiangmai Sign Language,Critically Endangered,~19,Sign Language; Southeast Asian,Thailand ,"18.789968, 98.984387"
Orkon,Severely Endangered,30,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-16.242462,168.218976;"
Ormu,Endangered,600,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.5136,140.6675"
Ormuri,Threatened,"~3,000",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Afghanistan Pakistan ,"32.5,69.75"
Oroch,Severely Endangered,<150,Tungusic; Southern Tungusic; Amur Tungusic,Russia ,"50.3333333333,137.5"
Oroha,Severely Endangered,38,Austronesian; Malayo-Polynesian; Oceanic; Southeast Solomonic,Solomon Islands ,"-9.7686,161.51"
Orok,Critically Endangered,<60,Tungusic; Southern Tungusic; Amur Tungusic,Russia Japan ,"52.341, 143.091; 49.402, 143.669; 49.320, 142.947"
Oroqen,Severely Endangered,"<2,500",Tungusic; Northern Tungusic,China ,"48.166,119.4873"
Oroshor,Vulnerable,"1,950",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Tajikistan ,"38.387964,72.741803"
Orowari,Critically Endangered,5,Chapacuran; Southern Chapacuran,Brazil ,"-11.6683,-65.1379"
Otoro,Endangered,"10,000",Niger-Congo; Heiban; West-Central Heiban,Sudan ,"11.1666666667,30.5"
Ottawa,Severely Endangered,"~2,000?",Algic; Algonquian; Ojibwa-Potawatomi,USA Canada ,"46.1519,-82.2243; 43.5971,-84.7752; 42.6068,-82.5195"
Ouargli,Threatened,"5,000",Afro-Asiatic; Berber,Algeria ,"31.9166666667, 5.33333333333"
Oued-Righ Berber,Threatened,"6,000",Afro-Asiatic; Berber,Algeria ,"33.0777, 6.0671"
Ouma,Critically Endangered,4,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-10.233,149.1"
Owiniga,Endangered,219,Left May,Papua New Guinea ,"-4.47, 141.70"
Oyda,Vulnerable,"15,000",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"5.9438,36.6503"
PÃ¡Ã¡fang,Threatened,"1,320",Austronesian; Malayo-Polynesian; Oceanic; Micronesian,Micronesia ,"7.6198,155.1571"
Paakantyi,Critically Endangered,2,Pama-Nyungan; Baagandji,Australia ,"-31.12813021, 144.2235677"
Pacaraos Quechua,Severely Endangered,~35,Quechuan; Central Quechua,Peru ,"-11.2538,-76.8054"
Padam,Vulnerable,"~40,000",Sino-Tibetan; Tani,India ,"28.2463, 95.3668"
Padoe,Threatened,"6,000",Austronesian; Malayo-Polynesian; Celebic; Bungku-Tolaki,Indonesia ,"-2.33333333333,121.333333333"
Paez,Vulnerable,"60,000",Isolate; South American,Colombia ,"2.66666666667,-76.0"
Pagi,Threatened,"1,100",Border; Bewani,Papua New Guinea ,"-3.05, 141.25"
Pahi,Endangered,<598,Sepik; Tama,Papua New Guinea ,"-3.80, 142.30"
Paipai,Severely Endangered,<100,Cochimi-Yuman; Yuman,Mexico ,"29.65,-115.1333"
Paite Chin,Vulnerable,"64,100",Sino-Tibetan; Kukish,India ,"24.0,93.1666666667"
Paiter,Endangered,920,Tupian; Mondean,Brazil ,"-11.1245,-61.3476"
Pakanh,Severely Endangered,10,Pama-Nyungan; Paman,Australia ,"-15.274264, 142.706775"
Palenquero,Endangered,500,Pidgin or Creole; Spanish based,Colombia ,"10.0952,-75.1142"
Palikur,Threatened,"2,000?",Arawakan; Northern Arawakan; Eastern,Brazil French Guiana ,"3.0,-51.0"
Palu'e,Threatened,"10,000",Austronesian; Malayo-Polynesian; West Flores,Indonesia ,"-8.326781,121.718478"
Palyku,Critically Endangered,Very few,Pama-Nyungan; Ngayarta,Australia ,"-22.6744684, 120.1169385"
Pam,Severely Endangered,30,Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Cameroon ,"8.553183, 14.336472"
Pana (Burkina Faso),Threatened,"7,800",Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Burkina Faso ,"13.433014,3.391889"
Pana (Central African Republic),Vulnerable,"85,980",Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Nigeria Cameroon Chad Central African Republic ,"7.305375,15.741636"
Panamint,Critically Endangered,<20,Uto-Aztecan; Northern Uto-Aztecan; Numic,USA ,"36.4555,-116.8666"
Panare,Vulnerable,3100,Cariban; Venezuelan,Venezuela ,"6.5,-66.0"
Panasuan,Endangered,800,Austronesian; Malayo-Polynesian; South Sulawesi,Indonesia ,"-2.24, 119.65"
Pande,Threatened,"8,870",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Central African Republic ,"3.522159, 16.039603"
Pangwali,Threatened,"17,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"33.4589,76.9152"
Pani Koch,Endangered,300,Sino-Tibetan; Brahmaputran,India Bangladesh ,"25.8, 90.2"
Panyjima,Severely Endangered,~50,Pama-Nyungan; Ngayarta,Australia ,"-23.01539682, 117.6751312"
Papabuco,Threatened,5070,Otomanguean; Zapotecan,Mexico ,"18.108522, -96.138497"
Papantla Totonac,Vulnerable,"80,000",Totonacan; Totonac,Mexico ,"20.446578,-97.317564"
Papapana,Severely Endangered,120,Austronesian; Malayo-Polynesian; Oceanic; Meso Melanesian,Papua New Guinea ,"-5.8974,155.2505"
Papi,Severely Endangered,70,Unclassified; Leonhard Schultze?,Papua New Guinea ,"-4.5, 142"
Papitalai,Endangered,520,Austronesian; Malayo-Polynesian; Oceanic; Admiralty Islands,Papua New Guinea ,"-2.05,147.4"
Papuma,Endangered,600,Austronesian; Malayo-Polynesian; South Halmahera-West New Guinea,Indonesia ,"-1.77, 135.91"
Parachi,Threatened,"6,900",Indo-European; Indo-Iranian; Iranian; Eastern Iranian,Afghanistan ,"34.4658,68.637"
ParakanÃ£,Threatened,"1,286",Tupian; Tupi-Guaranian; Tupi,Brazil ,"-5.2441,-52.7014"
Paraujano,Critically Endangered,1,Arawakan; Northern Arawakan; Maritime,Venezuela ,"11.022,-71.7352"
ParesÃ­,Threatened,"2,000",Arawakan; Southern Arawakan; Central,Brazil ,"-14.0,-57.0"
Parya,Threatened,"<7,500",Indo-European; Indo-Iranian; Indo-Aryan; Central Zone,Uzbekistan Tajikistan Afghanistan ,"38.5094,68.0932"
Pasi,Endangered,<154,"Sepik, Tama",Papua New Guinea ,"-3.95, 142.31"
Pattani,Vulnerable,"11,000",Sino-Tibetan; Tibeto-Kanauri,India ,"32.75,76.75"
Patwin,Critically Endangered,1?,Wintuan,USA ,"38.7608,-122.0354"
Paulohi,Severely Endangered,50,Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku,Indonesia ,"-3.25,128.75"
PaumarÃ­,Endangered,200,Arawan,Brazil ,"-6.0,-64.0"
Pauserna,Critically Endangered,4-Mar,Tupian; Tupi-Guaranian; Guarayo,Bolivia ,"-13.694972,-61.431164"
Pawaia,Threatened,4000,Isolate; Pacific,Papua New Guinea ,"-6.88, 145.08"
Pawnee,Critically Endangered,<10,Caddoan,USA ,"36.3372,-96.8032"
Payungu,Critically Endangered,6,Pama-Nyungan; Kanyara,Australia ,"-23.905927,114.783325; -23.821346,113.523906; -23.102907,113.806799; -23.15716,114.540807"
Pazeh-Kaxabu,Critically Endangered,12,Austronesian; Northwest Formosan,Taiwan ,"23.9666667, 120.9666667"
Pech,Endangered,600,Chibchan,Honduras ,"15.0,-85.5"
Pei,Severely Endangered,80,Unclassified; Leonhard Schultze?,Papua New Guinea ,"-4.51867,142.2774"
Pela,Vulnerable,~ 600,Sino-Tibetan; Lolo-Burmese,China Myanmar ,"24.449, 98.585; 24.184, 94.794; 24.815, 98.293"
PemÃ³n,Vulnerable,"23,983-24,083",Cariban; Venezuelan,Brazil Venezuela Guyana ,"5.33333333333,-62.0"
Penang Sign Language,Endangered,"<1,000",Sign Language; Southeast Asian,Malaysia ,"5.38, 100.25"
Pennsylvania German,Vulnerable,"98,700",Indo-European; Germanic; West Germanic; High German,USA Canada ,"40.510846, -75.787601"
Penrhyn,Severely Endangered,~500,Austronesian; Malayo-Polynesian; Oceanic,Cook Islands ,"-8.991, -157.974"
Petapa Zapotec,Threatened,"8,000",Otomanguean; Zapotecan,Mexico ,"16.8333,-95.1166"
