Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Macuna,Vulnerable,"1,041",Tucanoan; Eastern Tucanoan,Brazil Colombia ,"-0.333333333333,-70.1666666667",-0.333333333333,-70.1666666667
Madi,Definitely endangered,380,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-4.5,144.6",-4.5,144.6
Magori,Definitely endangered,<200,Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip,Papua New Guinea ,"-10.0337,149.2272",-10.0337,149.2272
Maha,Vulnerable,"10,000",Afro-Asiatic; Chadic; West Chadic,Nigeria ,"10.934661,11.682242",10.934661,11.682242
Mahasu Pahari,Vulnerable,"~500,000",Indo-European; Indo-Iranian; Indo-Aryan; Northern Zone,India ,"31.2738,77.1295",31.2738,77.1295
Mahongwe,Definitely endangered,"<1,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Gabon ,"1.0216,13.9031",1.0216,13.9031
Mahwa,Vulnerable,"6,560",Afro-Asiatic; Chadic; East Chadic,Chad ,"11.740913,18.280973",11.740913,18.280973
Majhi,Definitely endangered,24422,Indo-European; Indo-Iranian; Indo-Aryan; Eastern Zone,India Nepal ,"27.9208, 83.5082",27.9208, 83.5082
Mak (China),Definitely endangered,"5,000",Tai-Kadai; Kam-Tai; Lakkia-Kam-Sui; Kam-Sui,China ,"25.5532,107.3809",25.5532,107.3809
Mak (Nigeria),Vulnerable,"5,690",Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur,Nigeria ,"9.312003, 11.191010",9.312003, 11.191010
Maklew,Definitely endangered,120,Bulaka River,Indonesia ,"-7.7561, 139.5049",-7.7561, 139.5049
Mako,Vulnerable,"~1,078",Saliban,Venezuela ,"4.232227, -66.403103",4.232227, -66.403103
Maku'a,Critically endangered,50,Austronesian; Malayo-Polynesian; Timor,East Timor ,"-8.4017,127.2271",-8.4017,127.2271
Makurap,Severely endangered,45,Tupian; Tuparian,Brazil ,"-12.1682, -63.0285",-12.1682, -63.0285
Makushi,Vulnerable,"<7,830",Cariban; Venezuelan,Brazil Venezuela Guyana ,"4.0,-60.0",4.0,-60.0
Makwe,Vulnerable,"32,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Tanzania Mozambique ,"-10.614748, 40.382975",-10.614748, 40.382975
Mal Paharia,Vulnerable,"51,000",Indo-European; Indo-Iranian; Indo-Aryan; Eastern Zone,India ,"24.09, 87.35",24.09, 87.35
Mala,Vulnerable,"6,630",Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji,Nigeria ,"10.579561,8.096494",10.579561,8.096494
Malabar Indo-Portuguese Creole,Critically endangered,6,Pidgin or Creole; Portuguese based,India ,"11.864854, 75.369846",11.864854, 75.369846
Malaccan Creole Portuguese,Definitely endangered,"~2,150",Pidgin or Creole; Portuguese based,Malaysia ,"2.2, 102.25",2.2, 102.25
Malalamai,Definitely endangered,~150,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-5.763899803,146.6495056",-5.763899803,146.6495056
MalÃ©,Vulnerable,"53,800",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"5.386336,36.885738",5.386336,36.885738
Maleng,Definitely endangered,~500,Austro-Asiatic; Vietic; Pong-Chut,Vietnam Laos ,"17.920839,105.400831",17.920839,105.400831
Malkana,Extinct,0?,Pama-Nyungan; Kartu,Australia ,"-26.369725,114.207945",-26.369725,114.207945
Malo,Vulnerable,"20,151",Afro-Asiatic; Omotic; Ometo,Ethiopia ,"6.950294,37.025083",6.950294,37.025083
Malua Bay,Definitely endangered,500,Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu,Vanuatu ,"-15.98, 167.21",-15.98, 167.21
Malyangapa,Extinct,0?,Pama-Nyungan; Yarli,Australia ,"-30.5745762,140.7023202",-30.5745762,140.7023202
Mam,Vulnerable,"519,664",Mayan; Mamean,Guatemala Mexico ,"14.80, -91.72",14.80, -91.72
Mamaa,Definitely endangered,200,Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-6.508642197,146.5274963",-6.508642197,146.5274963
MamaindÃ©,Definitely endangered,250,Nambikwaran,Brazil ,"-11.8028,-59.8095",-11.8028,-59.8095
Mambae,Vulnerable,"131,000",Austronesian; Malayo-Polynesian; Timor,East Timor ,"-9.20, 125.47",-9.20, 125.47
Mambai,Vulnerable,"~15,000",Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa,Cameroon Chad ,"9.66666666667,14.0",9.66666666667,14.0
Mamboru,Definitely endangered,">13,000",Austronesian; Malayo-Polynesian; Sumba-Hawu,Indonesia ,"-9.392161, 119.533997",-9.392161, 119.533997
Man Met,Vulnerable,~1000,Austro-Asiatic; Palaungic; East Palaungic; Angkuic,China ,"22.07, 100.84",22.07, 100.84
Manam,Vulnerable,"6,000",Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Papua New Guinea ,"-4.07, 145.03",-4.07, 145.03
Manambu,Vulnerable,"~2,800",Sepik; Ndu,Papua New Guinea ,"-4.19, 142.86",-4.19, 142.86
Manange,Vulnerable,"~3,000",Sino-Tibetan; Tibeto-Burman; Bodic; Bodish; Tamangic,Nepal ,"28.665, 84.023",28.665, 84.023
Manat,Severely endangered,~50,Trans-New Guinea; Madang,Papua New Guinea ,"-4.94, 144.88",-4.94, 144.88
Manchu,Critically endangered,<20,Tungusic; Southern Tungusic; Jurchenic,China ,"49.5,127.5",49.5,127.5
Manchurian Kirghiz,Critically endangered,<10,Turkic; Siberian Turkic; Yenisei Turkic,China ,"47.8, 124.2",47.8, 124.2
Mand,Critically endangered,8,Trans-New Guinea; Madang,Papua New Guinea ,"-5.1292,144.7421",-5.1292,144.7421
Manda (India),Vulnerable,"4,040",Dravidian; South Dravidian,India ,"20.1384,84.0289",20.1384,84.0289
Manda (Tanzania),Vulnerable,"22,000",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Tanzania ,"-10.930405, 34.738564",-10.930405, 34.738564
Mandahuaca,Extinct,0?,Arawakan; Northern Arawakan; Upper Amazon,Brazil Venezuela ,"1.428,-66.9287",1.428,-66.9287
Mandandanyi,Critically endangered,1,Pama-Nyungan; Maric,Australia ,"-27.019333,148.776722",-27.019333,148.776722
Mander,Severely endangered,20,Orya-Tor; Tor,Indonesia ,"-2.4341,138.7284",-2.4341,138.7284
Manem,Definitely endangered,400,Border; Waris,Indonesia Papua New Guinea ,"-2.99, 141.02",-2.99, 141.02
Mang,Severely endangered,"<1,750",Austro-Asiatic; Mangic,China Vietnam Thailand ,"22.35,102.9666",22.35,102.9666
Mangala,Severely endangered,<20,Pama-Nyungan; Marrngu,Australia ,"-19.492,123.84",-19.492,123.84
Mangareva,Definitely endangered,Less than 900,Austronesian; Malayo-Polynesian; Oceanic; Polynesian,French Polynesia ,"-23.1226,-134.978",-23.1226,-134.978
Mangarrayi,Critically endangered,<50,Gunwinyguan; Maran,Australia ,"-14.34354907,133.3128743",-14.34354907,133.3128743
Mangas,Definitely endangered,180,Afro-Asiatic; Chadic; West Chadic,Nigeria ,"10.105134, 9.821771",10.105134, 9.821771
Mangayat,Definitely endangered,400,Niger-Congo; Atlantic-Congo; North Volta-Congo; Ubangi,South Sudan ,"8.2495,25.7574",8.2495,25.7574
Mangerr,Critically endangered,1,Giimbiyu,Australia ,"-12.23445,133.017806",-12.23445,133.017806
Mani,Severely endangered,<200,Niger-Congo; Atlantic-Congo; Mel,Guinea Sierra Leone ,"9.1129,-13.2165",9.1129,-13.2165
Maniq,Definitely endangered,~300,Austro-Asiatic; Aslian; North Aslian; Maniq,Thailand Malaysia ,"7.35,99.9333",7.35,99.9333
Manjiljarra,Definitely endangered,<500,Pama-Nyungan; Wati,Australia ,"-22.517631,123.840208",-22.517631,123.840208
Mansaka,Vulnerable,"57,800",Austronesian; Malayo-Polynesian; Greater Central Philippine; Mansakan,Philippines ,"6.79, 126.18",6.79, 126.18
Mao Naga,Vulnerable,"77,810",Sino-Tibetan; Angami-Pochuri,India ,"25.5,94.3333333333",25.5,94.3333333333
Mao of Bambeshi,Vulnerable,"5,000",Afro-Asiatic; Omotic; Mao,Ethiopia ,"9.7469,34.7662",9.7469,34.7662
Maonan,Vulnerable,"70,000",Tai-Kadai; Kam-Tai; Lakkia-Kam-Sui; Kam-Sui,China ,"24.825664, 108.258028",24.825664, 108.258028
MÄori,Definitely endangered,"127,000",Austronesian; Malayo-Polynesian; Oceanic; Polynesian,New Zealand ,"-40.0,176.0",-40.0,176.0
Mape,Vulnerable,"5,120",Trans-New Guinea; Finisterre-Huon,Papua New Guinea ,"-6.619209766,147.6359863",-6.619209766,147.6359863
Mapoyo,Critically endangered,3?,Cariban; Venezuelan,Venezuela ,"6.0,-67.0",6.0,-67.0
Mapudungun,Vulnerable,"258,413",Araucanian,Argentina Chile ,"-40.0791, -71.0156",-40.0791, -71.0156
Mara Chin,Vulnerable,42000,Sino-Tibetan; Kukish,India Myanmar ,"23.0,93.1666666667",23.0,93.1666666667
Maram Naga,Vulnerable,"37,340",Sino-Tibetan; Zemeic,India ,"25.185,93.9715",25.185,93.9715
Maremgi,Severely endangered,55,Orya-Tor; Tor,Indonesia ,"-2.2571,139.5455",-2.2571,139.5455
Margany,Critically endangered,1,Pama-Nyungan; Maric,Australia ,"-27.21067033,144.7191154",-27.21067033,144.7191154
Mari,Definitely endangered,80,Sepik; Sepik Hill; Central Sepik Hill,Papua New Guinea ,"-9.0478, 141.8994",-9.0478, 141.8994
Maricopa,Severely endangered,~100,Cochimi-Yuman; Yuman,USA ,"33.3772,-112.1676",33.3772,-112.1676
Maridan,Critically endangered,<20,Western Daly,Australia ,"-14.184522,130.056992",-14.184522,130.056992
Maridjabin,Critically endangered,<20,Western Daly,Australia ,"-13.866472,129.831508",-13.866472,129.831508
Marimanindji,Critically endangered,<15,Western Daly,Australia ,"-14.296972,130.184075",-14.296972,130.184075
Maring,Vulnerable,"11,000",Trans-New Guinea; Chimbu-Wahgi,Papua New Guinea ,"-5.5,144.666666667",-5.5,144.666666667
Maring Naga,Vulnerable,"22,326",Sino-Tibetan; Tangkhul,India ,"24.6769,94.3835",24.6769,94.3835
Marino,Definitely endangered,~500,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-14.976036,168.121192",-14.976036,168.121192
Maritime Sign Language,Critically endangered,<100,Sign Language; North American,Canada ,"45.04, -63.88",45.04, -63.88
Marori,Definitely endangered,< 150,Isolate; Pacific,Indonesia ,"-8.519, 140.501",-8.519, 140.501
Marra,Critically endangered,5,Gunwinyguan; Maran,Australia ,"-14.90794876,135.1224023",-14.90794876,135.1224023
Marrgu,Critically endangered,1,Unclassified; Iwaidjan?,Australia ,"-11.147622,132.560164",-11.147622,132.560164
Marringarr,Critically endangered,30-40,Western Daly,Australia ,"-14.377208,130.262539",-14.377208,130.262539
Marrithiyel,Critically endangered,<25,Western Daly,Australia ,"-13.83887457,130.0009396",-13.83887457,130.0009396
Martu Wangka,Definitely endangered,"800-1,000",Pama-Nyungan; Wati,Australia ,"-29.854456,122.324919",-29.854456,122.324919
Martuthunira,Critically endangered,5,Pama-Nyungan; Ngayarta,Australia ,"-21.91408273,115.8212481",-21.91408273,115.8212481
Marubo,Vulnerable,1043,Pano-Tacanan; Mainline,Brazil ,"-6.0968,-70.2246",-6.0968,-70.2246
Masep,Severely endangered,25,Isolate; Pacific,Indonesia ,"-1.7575,138.3178",-1.7575,138.3178
Mashco Piro,Definitely endangered,200-600,Arawakan; Southern Arawakan; Southern Outlier,Peru ,"-12.0822,-69.7412",-12.0822,-69.7412
Masimasi,Severely endangered,10,Austronesian; Malayo-Polynesian; Oceanic; North New Guinea,Indonesia ,"-2.01, 139.04",-2.01, 139.04
Maslam,Vulnerable,"5,000-6,000",Afro-Asiatic; Chadic; Biu-Mandara,Cameroon Chad ,"12.136,14.6914",12.136,14.6914
Massalat,Severely endangered,10,Maban,Chad ,"12.7635,20.5993",12.7635,20.5993
Mati Ke,Critically endangered,3-Feb,Western Daly,Australia ,"-14.004314,129.855606",-14.004314,129.855606
MatÃ­s,Definitely endangered,>280,Pano-Tacanan; Mayoruna,Brazil ,"-4.41666666667,-70.25",-4.41666666667,-70.25
Matngele,Critically endangered,15-20,Eastern Daly,Australia ,"-13.940756,130.611972",-13.940756,130.611972
MatsÃ©s,Vulnerable,2200,Pano-Tacanan; Mayoruna,Brazil Peru ,"-5.283333,-73.15",-5.283333,-73.15
Mavea,Critically endangered,32,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-15.384, 167.230",-15.384, 167.230
Mawak,Severely endangered,25,Trans-New Guinea; Madang,Papua New Guinea ,"-4.5819,145.3079",-4.5819,145.3079
Mawan,Definitely endangered,470,Trans-New Guinea; Madang,Papua New Guinea ,"-5.164199829,145.6166992",-5.164199829,145.6166992
Mawayana,Critically endangered,2,Arawakan; Northern Arawakan; Maritime,Brazil Guyana Suriname ,"1.5159,-58.4143",1.5159,-58.4143
MawÃ©,Vulnerable,"6,219",Tupian,Brazil ,"-3.8642,-56.7773",-3.8642,-56.7773
Mawes,Definitely endangered,693,Isolate,Indonesia ,"-2.37, 139.75",-2.37, 139.75
Mawng,Vulnerable,~300,Iwaidjan,Australia ,"-12.06446118,133.060671",-12.06446118,133.060671
MaxakalÃ­,Vulnerable,"1,271",Maxakalian,Brazil ,"-18.0,-40.0",-18.0,-40.0
Maxineri,Definitely endangered,950,Arawakan; Southern Arawakan; Southern Outlier,Brazil Bolivia ,"-10.5742,-70.4882",-10.5742,-70.4882
May,Definitely endangered,~500,Austro-Asiatic; Vietic; Pong-Chut,Vietnam Laos ,"17.981492,105.622181",17.981492,105.622181
May River Iwam,Vulnerable,"3,000",Sepik; Iwam,Papua New Guinea ,"-4.27, 141.82",-4.27, 141.82
Mayi-Kutuna,Critically endangered,2,Pama-Nyungan; Mayabic,Australia ,"-18.64602942,139.6972619",-18.64602942,139.6972619
Mayi-Yapi,Extinct,No known L1 speakers,Pama-Nyungan; Paman,Australia ,"-19.194796, 140.468383",-19.194796, 140.468383
Mayo,Vulnerable,"32,702",Uto-Aztecan; Southern Uto-Aztecan; Cahitan,Mexico ,"26.45, -108.98",26.45, -108.98
Mbara (Chad),Definitely endangered,"<1,000",Afro-Asiatic; Chadic; Biu-Mandara,Chad ,"11.0,15.4166666667",11.0,15.4166666667
Mbariman-Gudhinma,Critically endangered,3,Pama-Nyungan; Paman,Australia ,"-14.629469,143.850325",-14.629469,143.850325
Mbiywom,Extinct,0?,Pama-Nyungan; Paman,Australia ,"-12.89620501,142.2710997",-12.89620501,142.2710997
Mbonga,Vulnerable,"1,490",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Cameroon ,"5.6, 13.8",5.6, 13.8
Mbowe,Vulnerable,"2,690",Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid,Zambia ,"-14.154511, 22.017453",-14.154511, 22.017453
Mbre,Definitely endangered,200,Niger-Congo; Atlantic-Congo,CÃ´te d'Ivoire ,"8.20929, -5.72944",8.20929, -5.72944
MbyÃ¡,Vulnerable,"19,924",Tupian; Tupi-Guaranian; Guarani,Brazil Argentina Paraguay Uruguay ,"-26.5099, -55.2832",-26.5099, -55.2832
Mea,Definitely endangered,300,Austronesian; Malayo-Polynesian; Oceanic; New Caledonian,New Caledonia ,"-21.6141,165.7836",-21.6141,165.7836
Meakambut,Definitely endangered,100,Arafundi,Papua New Guinea ,"-4.96, 143.64",-4.96, 143.64
