Language,Level of Endangerment,Number of Speakers,Linguistic Family,Countries,Coordinates,Latitude,Longitude
Lizu,Definitely endangered,~4000,Sino-Tibetan; Tibeto-Burman; Qiangic,China ,"28.330373, 101.36055",28.330373, 101.36055
Logba,Vulnerable,"7,500",Niger-Congo; Atlantic-Congo; Kwa,Ghana ,"6.952328, 0.472206",6.952328, 0.472206
Logol,Vulnerable,"2,600",Niger-Congo; Heiban; West-Central Heiban,Sudan ,"10.8521, 30.6463",10.8521, 30.6463
Logorik,Vulnerable,"2,000",Daju; Eastern Daju,Sudan ,"11.1433,29.8306",11.1433,29.8306
Logudorese Sardinian,Vulnerable,"~500,000",Indo-European; Italic; Romance,Italy ,"40.1116,9.1845",40.1116,9.1845
Lola,Definitely endangered,830,Austronesian; Malayo-Polynesian; Aru,Indonesia ,"-6.3316,134.8818",-6.3316,134.8818
Longgu,Vulnerable,"1,500",Austronesian; Malayo-Polynesian; Oceanic; Southeast Solomonic,Solomon Islands ,"-9.684, 160.656",-9.684, 160.656
Lopnor Uighur,Critically endangered,"<24,000",Turkic; Central Asian Turkic,China ,"40.983,84.224",40.983,84.224
Lotha Naga,Vulnerable,"170,001",Sino-Tibetan; Aoic,India ,"26.5,94.25",26.5,94.25
Lou,Definitely endangered,953,Torricelli; Kombian,Papua New Guinea ,"-3.45, 142.62",-3.45, 142.62
Lower Central Chinantec,Vulnerable,"1,500",Otomanguean; Chinantecan,Mexico ,"17.7747,-96.3034",17.7747,-96.3034
Lower Silesian,Vulnerable,"22,900",Indo-European; Germanic; West Germanic; High German,Germany Poland Czech Republic ,"50.256688, 18.500977",50.256688, 18.500977
Lower Sorbian,Vulnerable,"7,240",Indo-European; Balto-Slavic; Slavic; West Slavic,Germany ,"51.75,14.3333333333",51.75,14.3333333333
Lower Southeastern Chinantec,Vulnerable,"10,700",Otomanguean; Chinantecan,Mexico ,"17.482327,-95.879853",17.482327,-95.879853
Lower Southern Aranda,Extinct,0?,Pama-Nyungan; Arandic,Australia ,"-25.63325931,135.4326846",-25.63325931,135.4326846
Lowland Chontal,Severely endangered,100,Tequistlatecan,Mexico ,"16.0,-95.75",16.0,-95.75
Lowland Ecuadorian Quichua,Vulnerable,"~17,855?",Quechuan; Peripheral Quechua; Chinchay,Peru Colombia Ecuador ,"-1.3511,-78.6511",-1.3511,-78.6511
Lowland Mixe,Vulnerable,"50,900",Mixe-Zoquean; Mixean,Mexico ,"16.9166666667,-95.6666666667",16.9166666667,-95.6666666667
LÃ¶yÃ¶p,Definitely endangered,200,Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu,Vanuatu ,"-13.5311,167.3368",-13.5311,167.3368
Luang,Vulnerable,"18,000",Austronesian; Malayo-Polynesian; Timor,Indonesia ,"-8.18, 127.94",-8.18, 127.94
Ludian,Critically endangered,300,Uralic; Finnic,Russia ,"61.5867,33.6813",61.5867,33.6813
Lufu,Vulnerable,"3,200",Niger-Congo; Atlantic-Congo; Benue-Congo; Plateau,Nigeria ,"7.041226,9.768341",7.041226,9.768341
Lule Saami,Definitely endangered,"1,000-2,000",Uralic; Saami,Sweden Norway ,"67.272,17.7978",67.272,17.7978
Lumun,Vulnerable,"30,000",Niger-Congo; Talodi,Sudan ,"10.8387,30.0338",10.8387,30.0338
Luo,Critically endangered,1,Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid,Cameroon ,"6.085,11.486",6.085,11.486
Luri,Critically endangered,2,Afro-Asiatic; Chadic; West Chadic,Nigeria ,"10.171127, 9.726795",10.171127, 9.726795
Lushootseed,Critically endangered,5,Salishan; Central Salish,USA ,"47.93, -122.14",47.93, -122.14
Luwati,Vulnerable,"5,000",Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone,Oman ,"23.6193,58.5653",23.6193,58.5653
Mabaan,Severely endangered,25,Nilotic; Western Nilotic,South Sudan ,"9.786503,33.633736",9.786503,33.633736
Mabire,Critically endangered,~5,Afro-Asiatic; Chadic; East Chadic,Chad ,"12.1682,18.7275",12.1682,18.7275
MacaguÃ¡n,Definitely endangered,441,Guajiboan,Colombia ,"6.5,-71.3333333333",6.5,-71.3333333333
Machiguenga,Vulnerable,"5,000",Arawakan; Southern Arawakan; Campa,Peru ,"-12.0,-72.6666666667",-12.0,-72.6666666667
